Division,Division_Description,Sub_Division,Sub_Division_Description,Group,Group_Description,Family,Family_Description,Unit_Code,Unit_Title,Unit_Description,NCO_2004,QP_NOS Reference,QP_NOS Name,NSQF_Level,text
,,,,,,1120 Managing Directors and Chief Executives,,1120.21,,,1214.50,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.22,,,1214.60,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.23,,,1215.10,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.24,,,1215.20,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.25,,,1215.30,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.26,,,1215.40,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.27,,,1216.10,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.28,,,1216.20,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.29,,,1217.10,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.3,,,1217.20,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.31,,,1217.30,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.32,,,1218.10,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.33,,,1218.20,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.34,,,1218.30,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.3401,,,,MES/Q0207,Account Director (Advertising Agency),8.0,
,,,,,,1120 Managing Directors and Chief Executives,,1120.3402,,,,MES/Q0201,Sales Director (Media Org),8.0,
,,,,,,1120 Managing Directors and Chief Executives,,1120.35,,,1219.10,ASC/Q6305,Quality Assurance Standards In Charge-Level 5,5.0,
,,,,,,1120 Managing Directors and Chief Executives,,1120.36,,,1219.20,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.37,,,1219.30,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.38,,,1219.40,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.39,,,1219.50,,,,
,,,,,,1120 Managing Directors and Chief Executives,,1120.99,,,1211.90,,,,
,,,,,,1211 Finance Managers,,1211.01,,,1307.10,,,,
,,,,,,1211 Finance Managers,,1211.02,,,1307.20,,,,
,,,,,,1211 Finance Managers,,1211.03,,,1231.10,,,,
,,,,,,1211 Finance Managers,,1211.99,,,1231.9,,,,
,,,,,,1212 Human Resource Managers,,1212.01,,,1232.10,,,,
,,,,,,1212 Human Resource Managers,,1212.99,,,1232.90,,,,
,,,,,,1213 Policy and Planning Managers,,1213.01,,,1239.10,,,,
,,,,,,1213 Policy and Planning Managers,,1213.0101,,,,,,,
,,,,,,1213 Policy and Planning Managers,,1213.0102,,,,ASC/Q0603,Area Service Manager,6.0,
,,,,,,1213 Policy and Planning Managers,,1213.02,,,1239.20,,,,
,,,,,,1213 Policy and Planning Managers,,1213.0201,,,,,,,
,,,,,,1213 Policy and Planning Managers,,1213.0202,,,,ASC/Q0602,Territory Service Manager,5.0,
,,,,,,1213 Policy and Planning Managers,,1213.99,,,1239.90,AMH/Q1603,Export Manager,5.0,
,,,,,,1219 Business Services and Administration Managers Not Elsewhere Classified,,1219.01,,,1227.30,,,,
,,,,,,1219 Business Services and Administration Managers Not Elsewhere Classified,,1219.0101,,,,,,,
,,,,,,1219 Business Services and Administration Managers Not Elsewhere Classified,,1219.02,,,1228.10,ASC/Q1006,Home Delivery Manager,6.0,
,,,,,,1221 Sales and Marketing Managers,,1221.01,,,1233.10,,,,
,,,,,,1221 Sales and Marketing Managers,,1221.02,,,1233.20,,,,
,,,,,,1221 Sales and Marketing Managers,,1221.0301,,,,,,,
,,,,,,1221 Sales and Marketing Managers,,1221.0401,,,,TEL/Q0204,Territory Sales Manager (Broadband),7.0,
,,,,,,1221 Sales and Marketing Managers,,1221.0501,,,,TEL/Q0203,Territory Sales Manager (Prepaid),7.0,
,,,,,,1221 Sales and Marketing Managers,,1221.0601,,,,MES/Q0204,Sales Co-ordinator (Media Org),4.0,
,,,,,,1221 Sales and Marketing Managers,,1221.0602,,,,MES/Q0202,Sales Manager (Media Org),7.0,
,,,,,,1221 Sales and Marketing Managers,,1221.99,,,1233.90,ASC/Q6503,Manager Testing Facility Level 6,6.0,
,,,,,,1222 Advertising and Public Relation Managers,,1222.01,,,1234.10,,,,
,,,,,,1222 Advertising and Public Relation Managers,,1222.0102,,,,,,,
,,,,,,1222 Advertising and Public Relation Managers,,1222.02,,,1234.20,,,,
,,,,,,1222 Advertising and Public Relation Managers,,1222.99,,,1234.90,,,,
,,,,,,1223 Research and Development Managers,,1223.0101,,,,,,,
,,,,,,1223 Research and Development Managers,,1223.0102,,,,ASC/Q6502,Manager Material Testing,5.0,
,,,,,,1223 Research and Development Managers,,1223.0201,,,,SSC/Q5301,Research Associate,8.0,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.01,,,1301.20,RSC/Q0932,Rubber Nursery Manager,6.0,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.02,,,1301.30,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.03,,,1301.10,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.04,,,1301.40,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.05,,,1301.50,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.06,,,1301.60,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.07,,,1221.10,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.08,,,1221.20,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.09,,,1221.22,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.0901,,,,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.1,,,1221.24,ASC/Q6302,Manager Supplier Quality Level 6,6.0,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.11,,,1221.26,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.12,,,1221.30,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.13,,,1221.40,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.14,,,1221.50,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.15,,,1221.60,,,,
,,,,,,1311 Agricultural and Forestry Production Managers,,1311.99,,,1221.90,,,,
,,,,,,1321 Manufacturing Managers,,1321.01,,,1222.40,,,,
,,,,,,1321 Manufacturing Managers,,1321.02,,,1222.45,,,,
,,,,,,1321 Manufacturing Managers,,1321.03,,,1222.50,,,,
,,,,,,1321 Manufacturing Managers,,1321.04,,,1222.60,,,,
,,,,,,1321 Manufacturing Managers,,1321.05,,,1222.65,,,,
,,,,,,1321 Manufacturing Managers,,1321.06,,,1222.70,,,,
,,,,,,1321 Manufacturing Managers,,1321.07,,,1302.40,,,,
,,,,,,1321 Manufacturing Managers,,1321.08,,,1302.50,,,,
,,,,,,1321 Manufacturing Managers,,1321.09,,,1302.60,,,,
,,,,,,1321 Manufacturing Managers,,1321.1,,,1302.70,,,,
,,,,,,1321 Manufacturing Managers,,1321.99,,,1302.90,,,,
,,,,,,1322 Mining Managers,,1322.01,,,1222.10,,,,
,,,,,,1322 Mining Managers,,1322.02,,,1222.20,,,,
,,,,,,1322 Mining Managers,,1322.03,,,1222.30,,,,
,,,,,,1322 Mining Managers,,1322.04,,,1302.10,,,,
,,,,,,1322 Mining Managers,,1322.05,,,1302.20,,,,
,,,,,,1322 Mining Managers,,1322.06,,,1302.30,,,,
,,,,,,1322 Mining Managers,,1322.99,,,1222.90,,,,
,,,,,,1323 Construction Managers,,1323.01,,,1223.10,,,,
,,,,,,1323 Construction Managers,,1323.02,,,1223.20,,,,
,,,,,,1323 Construction Managers,,1323.03,,,1303.10,,,,
,,,,,,1323 Construction Managers,,1323.99,,,1303.90,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.01,,,1235.10,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.0101,,,,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.0102,,,,ASC/Q6203,Manager Vendor Development Level 6,6.0,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.0103,,,,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.02,,,1226.10,LSC/Q2307,Warehouse Supervisor,5.0,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.03,,,1226.15,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.04,,,1226.17,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.05,,,1226.20,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.06,,,1226.25,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.07,,,1226.29,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.08,,,1226.30,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.09,,,1226.35,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.1,,,1226.37,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.11,,,1226.39,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.12,,,1226.50,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.1201,,,,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.13,,,1226.52,SSC/Q7102,Communication Analyst,5.0,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.14,,,1226.54,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.15,,,1226.60,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.16,,,1226.62,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.17,,,1226.64,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.18,,,1226.65,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.19,,,1226.67,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.2,,,1226.69,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.21,,,1306.10,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.22,,,1306.30,,,,
,,,,,,"1324 Supply, Distribution and Related Managers",,1324.99,,,1226.90,,,,
,,,,,,1330 Information and Communication Technology Services Managers,,1330.01,,,1226.40,,,,
,,,,,,1330 Information and Communication Technology Services Managers,,1330.0101,,,,,,,
,,,,,,1330 Information and Communication Technology Services Managers,,1330.02,,,1226.70,TEL/Q4102,Cluster Manager,6.0,
,,,,,,1330 Information and Communication Technology Services Managers,,1330.03,,,1226.80,,,,
,,,,,,1330 Information and Communication Technology Services Managers,,1330.06,,,1306.20,,,,
,,,,,,1330 Information and Communication Technology Services Managers,,1330.0701,,,,,,,
,,,,,,1345 Education Managers,,1345.01,,,1229.20,,,,
,,,,,,1346 Financial and Insurance Service Branch Managers,,1346.01,,,1227.10,,,,
,,,,,,1346 Financial and Insurance Service Branch Managers,,1346.02,,,1227.20,,,,
,,,,,,1346 Financial and Insurance Service Branch Managers,,1346.99,,,1227.90,,,,
,,,,,,1411 Hotel Managers,,1411.01,,,1225.10,,,,
,,,,,,1411 Hotel Managers,,1411.02,,,1305.10,,,,
,,,,,,1411 Hotel Managers,,1411.99,,,1225.90,,,,
,,,,,,1412 Restaurant Managers,,1412.01,,,1225.20,,,,
,,,,,,1412 Restaurant Managers,,1412.99,,,1305.90,,,,
,,,,,,1420 Retail and Wholesale Trade Managers,,1420.01,,,1224.10,,,,
,,,,,,1420 Retail and Wholesale Trade Managers,,1420.02,,,1224.20,,,,
,,,,,,1420 Retail and Wholesale Trade Managers,,1420.03,,,1224.30,,,,
,,,,,,1420 Retail and Wholesale Trade Managers,,1420.04,,,1304.10,,,,
,,,,,,1420 Retail and Wholesale Trade Managers,,1420.05,,,1304.20,,,,
,,,,,,1420 Retail and Wholesale Trade Managers,,1420.99,,,1304.90,,,,
,,,,,,"1431 Sports, Recreation and Cultural Centre Managers",,1431.01,,,1309.10,,,,
,,,,,,"1431 Sports, Recreation and Cultural Centre Managers",,1431.99,,,1309.90,,,,
,,,,,,2111 Physicists and Astronomers,,2111.01,,,2111.10,,,,
,,,,,,2111 Physicists and Astronomers,,2111.02,,,2111.15,,,,
,,,,,,2111 Physicists and Astronomers,,2111.03,,,2111.20,,,,
,,,,,,2111 Physicists and Astronomers,,2111.04,,,2111.25,,,,
,,,,,,2111 Physicists and Astronomers,,2111.05,,,2111.30,,,,
,,,,,,2111 Physicists and Astronomers,,2111.06,,,2111.35,,,,
,,,,,,2111 Physicists and Astronomers,,2111.07,,,2111.40,,,,
,,,,,,2111 Physicists and Astronomers,,2111.08,,,2111.50,,,,
,,,,,,2111 Physicists and Astronomers,,2111.09,,,2111.60,,,,
,,,,,,2111 Physicists and Astronomers,,2111.1,,,2119.10,,,,
,,,,,,2111 Physicists and Astronomers,,2111.11,,,2119.20,,,,
,,,,,,2111 Physicists and Astronomers,,2111.99,,,2111.90,,,,
,,,,,,2112 Meteorologists,,2112.01,,,2112.10,,,,
,,,,,,2112 Meteorologists,,2112.99,,,2112.90,,,,
,,,,,,2113 Chemists,,2113.01,,,2113.10,,,,
,,,,,,2113 Chemists,,2113.02,,,2113.20,,,,
,,,,,,2113 Chemists,,2113.03,,,2113.30,,,,
,,,,,,2113 Chemists,,2113.04,,,2113.40,,,,
,,,,,,2113 Chemists,,2113.05,,,2113.50,,,,
,,,,,,2113 Chemists,,2113.06,,,2113.60,,,,
,,,,,,2113 Chemists,,2113.0601,,,,,,,
,,,,,,2113 Chemists,,2113.0621,,,,RSC/Q0315,Lab Chemist- Finished product testing,5.0,
,,,,,,2113 Chemists,,2113.0622,,,,RSC/Q0312,Lab Chemist- Incoming raw material testing,5.0,
,,,,,,2113 Chemists,,2113.0623,,,,RSC/Q0313,Lab Chemist- Compound testing – Batch Release,5.0,
,,,,,,2113 Chemists,,2113.0624,,,,RSC/Q0314,Lab Chemist-Cured compound testing,5.0,
,,,,,,2113 Chemists,,2113.08,,,2113.80,LFS/Q0301,Quality Assurance Chemist,5.0,
,,,,,,2113 Chemists,,2113.0901,,,,,,,
,,,,,,2113 Chemists,,2113.99,,,2113.90,SSC/Q2101,Associate-Analytics,7.0,
,,,,,,2114 Geologists and Geophysicists,,2114.01,,,2114.10,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.02,,,2114.20,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.03,,,2114.30,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.04,,,2114.40,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.05,,,2114.50,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.06,,,2114.60,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.07,,,2114.70,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.08,,,2114.80,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.15,,,2114.15,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.55,,,2114.55,,,,
,,,,,,2114 Geologists and Geophysicists,,2114.99,,,2114.90,,,,
,,,,,,"2120 Mathematicians, Actuaries and Statisticians",,2120.01,,,2121.10,,,,
,,,,,,"2120 Mathematicians, Actuaries and Statisticians",,2120.02,,,2121.20,,,,
,,,,,,"2120 Mathematicians, Actuaries and Statisticians",,2120.03,,,2122.10,,,,
,,,,,,"2120 Mathematicians, Actuaries and Statisticians",,2120.04,,,2122.20,,,,
,,,,,,"2120 Mathematicians, Actuaries and Statisticians",,2120.05,,,2122.30,,,,
,,,,,,"2120 Mathematicians, Actuaries and Statisticians",,2120.0501,,,,,,,
,,,,,,"2120 Mathematicians, Actuaries and Statisticians",,2120.99,,,2122.90,AMH/Q2001,Industrial Engineer (IE) Executive,6.0,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.01,,,2211.10,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.02,,,2211.15,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.03,,,2211.20,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.04,,,2211.35,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.05,,,2211.37,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.06,,,2211.40,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.07,,,2211.50,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.08,,,2211.55,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.09,,,2211.60,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.1,,,2211.65,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.11,,,2211.70,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.12,,,2211.85,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.13,,,2212.10,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.14,,,2212.20,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.15,,,2212.70,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.18,,,2212.80,,,,
,,,,,,"2131 Biologists, Botanists, Zoologists and Related Professionals",,2131.99,,,2211.90,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.01,,,2213.10,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.02,,,2213.20,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.03,,,2213.30,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.04,,,2213.40,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.05,,,2213.50,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.06,,,2213.60,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.07,,,2213.70,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.08,,,2213.80,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.09,,,2211.80,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.1,,,3213.10,,,,
,,,,,,"2132 Farming, Forestry and Fisheries Advisors",,2132.99,,,2213.90,,,,
,,,,,,2133 Environmental Protection Professionals,,2133.01,,,2211.25,,,,
,,,,,,2133 Environmental Protection Professionals,,2133.02,,,2211.27,,,,
,,,,,,2133 Environmental Protection Professionals,,2133.03,,,2211.30,,,,
,,,,,,2133 Environmental Protection Professionals,,2133.04,,,2211.45,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.01,,,2149.10,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.02,,,2149.15,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.03,,,2149.76,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.0301,,,,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.04,,,2149.77,ELE/Q6201,PPC Engineer,5.0,
,,,,,,2141 Industrial and Production Engineers,,2141.05,,,2149.78,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.0501,,,,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.06,,,2149.80,PSC/Q0115,Plumbing Site Engineer,7.0,
,,,,,,2141 Industrial and Production Engineers,,2141.08,,,2149.84,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.09,,,2149.18,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.1,,,2149.20,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.11,,,2149.23,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.12,,,2149.25,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.13,,,2149.30,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.14,,,2149.35,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.15,,,2149.40,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.16,,,2149.45,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.17,,,2149.50,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.18,,,2149.55,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.19,,,2149.57,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.2,,,2149.60,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.21,,,2149.65,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.22,,,2149.70,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.23,,,2149.72,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.24,,,2149.74,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.25,,,2149.85,,,,
,,,,,,2141 Industrial and Production Engineers,,2141.26,,,2149.86,,,,
,,,,,,2142 Civil Engineers,,2142.01,,,2142.10,,,,
,,,,,,2142 Civil Engineers,,2142.02,,,2142.20,,,,
,,,,,,2142 Civil Engineers,,2142.03,,,2142.30,,,,
,,,,,,2142 Civil Engineers,,2142.0301,,,,,,,
,,,,,,2142 Civil Engineers,,2142.04,,,2142.40,PSC/Q0205,Fire Protection Systems Design Engineer,7.0,
,,,,,,2142 Civil Engineers,,2142.05,,,2142.45,,,,
,,,,,,2142 Civil Engineers,,2142.0501,,,,,,,
,,,,,,2142 Civil Engineers,,2142.06,,,2142.50,PSC/Q0206,Public Health System Design Engineer,8.0,
,,,,,,2142 Civil Engineers,,2142.07,,,2142.60,,,,
,,,,,,2142 Civil Engineers,,2142.08,,,2142.65,,,,
,,,,,,2142 Civil Engineers,,2142.09,,,2142.70,,,,
,,,,,,2142 Civil Engineers,,2142.0901,,,,,,,
,,,,,,2142 Civil Engineers,,2142.1,,,2142.72,PSC/Q0202,Ground Water Engineer,7.0,
,,,,,,2142 Civil Engineers,,2142.1001,,,,,,,
,,,,,,2142 Civil Engineers,,2142.1002,,,,PSC/Q0207,Waste Water Systems Design,8.0,
,,,,,,2142 Civil Engineers,,2142.99,,,2142.90,ASC/Q6404,Process Design Engineer L6,6.0,
,,,,,,2143 Environmental Engineers,,2143.01,,,2149.05,,,,
,,,,,,2143 Environmental Engineers,,2143.02,,,2149.17,,,,
,,,,,,2143 Environmental Engineers,,2143.03,,,2149.22,,,,
,,,,,,2143 Environmental Engineers,,2143.04,,,2149.87,,,,
,,,,,,2143 Environmental Engineers,,2143.05,,,2149.88,,,,
,,,,,,2144 Mechanical Engineers,,2144.01,,,2145.10,,,,
,,,,,,2144 Mechanical Engineers,,2144.0101,,,,,,,
,,,,,,2144 Mechanical Engineers,,2144.0102,,,,ASC/Q6406,Process Try-out Engineer L4,4.0,
,,,,,,2144 Mechanical Engineers,,2144.0103,,,,ASC/Q6409,Process Try-out Technician,3.0,
,,,,,,2144 Mechanical Engineers,,2144.0104,,,,ASC/Q6408,Process Validation Executive,5.0,
,,,,,,2144 Mechanical Engineers,,2144.0105,,,,ASC/Q6407,"Manager, Process Engineering",7.0,
,,,,,,2144 Mechanical Engineers,,2144.0106,,,,ASC/Q6505,Manager-Product Lifecycle Management Level 6,6.0,
,,,,,,2144 Mechanical Engineers,,2144.02,,,2145.15,CSC/Q0405,Designer- Mechanical,6.0,
,,,,,,2144 Mechanical Engineers,,2144.0201,,,,,,,
,,,,,,2144 Mechanical Engineers,,2144.03,,,2145.20,ASC/Q6405,Equipment Designer L5,5.0,
,,,,,,2144 Mechanical Engineers,,2144.0301,,,,,,,
,,,,,,2144 Mechanical Engineers,,2144.0401,,,2145.25,ASC/Q5101,Product Conceptualization Engineer,6.0,
,,,,,,2144 Mechanical Engineers,,2144.0402,,,,,,,
,,,,,,2144 Mechanical Engineers,,2144.0403,,,,CSC/Q1201,Production Engineer,5.0,
,,,,,,2144 Mechanical Engineers,,2144.05,,,2145.30,CSC/Q0503,Service Engineer- Breakdown Service,5.0,
,,,,,,2144 Mechanical Engineers,,2144.06,,,2145.35,,,,
,,,,,,2144 Mechanical Engineers,,2144.0601,,,,,,,
,,,,,,2144 Mechanical Engineers,,2144.07,,,2145.40,ASC/Q8301,Prototyping Engineer,6.0,
,,,,,,2144 Mechanical Engineers,,2144.0701,,,,,,,
,,,,,,2144 Mechanical Engineers,,2144.08,,,2145.42,ASC/Q8103,Product Design Manager,7.0,
,,,,,,2144 Mechanical Engineers,,2144.0801,,,,,,,
,,,,,,2144 Mechanical Engineers,,2144.0802,,,,ASC/Q8101,Modeller,6.0,
,,,,,,2144 Mechanical Engineers,,2144.0803,,,,ASC/Q8102,Product Design Engineer,6.0,
,,,,,,2144 Mechanical Engineers,,2144.0804,,,,ASC/Q8302,Prototyping Manager,7.0,
,,,,,,2144 Mechanical Engineers,,2144.09,,,2145.45,ASC/Q6403,Layout Engineer Level 5,5.0,
